"polygon_id","seq_no","receiver_name","receiver_inn","facility_address","facility_coordinates","region","phone","email","kip_number","fkko_code"
"POLY_011","11","ООО ""Биоэкопром""","7751514080","Московская область, Дмитровский городской округ, с/п
Габовское, в районе д. Подгорное и д. Старо, кадастровые
номера земельных участков: 50:04:0070103:425,
50:04:0160208:70 и 50:04:0160208:71","56.167097 37.349750","Московская
область","8 (985) 969 70 74","bioecoprom@inbox.ru","94, 153","81110001495;81111112495;81111221405;81112312395;81113111205;81220101205;81910001495;81910003215;82110101215;82121111205;
82151111405;82202112495;82210101215;82220101215;82230101215;82310101215;82421111205;82451111205;82913111205;83010001715;
84921112205;15211002215;15411001215;40414000515;40419000515;45720102205;45911111515;81111111494;81111531404;81112311394;
81991111704;82221111204;82240101214;82291111204;82913211624;83020001714;89000002494;84121112525;15211001215"
"POLY_012","12","ООО ""Вега-ЛМ""","5001087388","Московская область, Щелковский район, АОЗТ
«Щелковская птицефабрика», кадастровый номер
земельного участка 50:14:0040301:527","55.874541 38.170492","Московская
область","8 (985) 641 39 26","ooo.vega_lm@mail.ru","93","81110001495;81111112495;81111221405;81112312395;81113111205;81220101205;81910001495;81910003215;82110101215;82121111205;
82151111405;82202112495;82210101215;82220101215;82230101215;82310101215;82320101215;82419111205;82421111205;82451111205;
82913111205;82924111405;83010001715;84121112525;84921112205;15211001215;81111111494;81111531404;81112311394;81210101724;
82213111204;82217111514;82221111204;82240101214;82331111504;82411001204;82411002204;82431121214;82441111214;82490001294;
82491111204;82531511204;82621001514;82622001514;83020001714;88235111214;89000002494"
"POLY_013","13","ООО ""Вива Транс""","7706217230","г. Москва, вн.тер.г. поселение Сосенское, ул. Адмирала
Корнилова, земельный участок 21","55.606009 37.456754","Москва","8 (495) 926 58 02","vivatranss@mail.ru","44","81910003215;81220101205;82421111205;15211004215;82151111405;83010001715;15211002215;15211001215;15411001215;81210101724;
40419000515;45110100205;81111221405;83020001714;43414201515;82310101215;84121112525;40414000515;82913111205;81290101724;
43415101515;43419972505;43411004515;43418101515;43419901205;40419100225;43412003515;43419199205;40421111515;82110101215;
43411002295;43414102515;43425002295;43425001295;45720102205;82121111205;84921112205;43414103515;81110001495;82240101214;
82202112495;82230101215;43419101205;81910001495;43417101205;43418102295;43412002295;43411003515;43414101205;43499133725;
81111112495;43419902205;82220101215;43416101515;43412004515;43411001205;43499121725;81112312395;82221111204;82210101215"
"POLY_014","14","ООО ""Возрождение""","5050143684","(КИП № 71) Московская область, г.о. Щелково, с/п
Огудневское, вблизи д. Воря-Богородское","56.042401 38.168059","Московская
область","8 (926) 108 37 75","vozrojdenie.mr@mail.ru","71","81110001495;81111112495;81112312395;81113111205;81910001495;81910003215;82110101215;82121111205;82310101215;82419111205;
82451111205;82913111205;83010001715;84921112205;30522003215;30522004215;30522002215;40414000515;40419000515;40421111515;
81220101205;82220101215;82230101215;40421001514;40422001514;40423001514;40424001514;40429099514;40490111614;40490511514;
40497111614;44375102494;45551001514;45551002514;45551099514;45575111714;45711201204;45711901204;45711101204;45712111614;
45712312614;45720101204;45720122204;45742111524;45751111204;45911021514;45912211504;45914111514;45991111404;49211111724;
81111111494;81112211394;81112311394;81210101724;81991111704;82221111204;82240101214;82291111204;82411001204;82441111214;
82490001294;82491111204;82531511204;82913211624;82915111624;82917111714;83020001714;84111111514;84210102214;84220101493;
84220102494;88235111214;89000002494;89000003214;93110003394;93110001393"
"POLY_015","15","ООО ""Возрождение""","5050143684","Московская область, г. Щелково, Восточная промзона","55.924877 38.038654","Московская
область","8 (926) 108 37 75","vozrojdenie.mr@mail.ru","141","40414000515;40419000515;40421111515;81110001495;81111112495;81112312395;81113111205;81220101205;81910001495;81910003215;
82110101215;82121111205;82220101215;82230101215;82310101215;82419111205;82451111205;82913111205;83010001715;84921112205;
40421001514;40422001514;40423001514;40424001514;40429099514;40490111614;40490511514;40497111614;44375102494;45551001514;
45551002514;45551099514;45575111714;45711101204;45711201204;45711901204;45712111614;45712312614;45720101204;45720122204;
45742111524;45751111204;45911021514;45912211504;45914111514;45991111404;49211111724;81111111494;81112211394;81112311394;
81210101724;81991111704;82221111204;82240101214;82291111204;82411001204;82441111214;82490001294;82491111204;82531511204;
82913211624;82915111624;82917111714;84111111514;83020001714;84210102214;84220101493;84220102494;88235111214;89000002494;
89000003214;93110001393;93110003394;84210101213;15211001215;15211002215;15211003235;15211004215;15411001215;40414111524;
45711211605;45712211614;45720102205;45911099515;49211121725;81111221405;81111531404;81290101724;82151111405;82202112495;
82210101215;82213111204;82217111514;82223111204;82233111204;82320101215;82331111504;82411002204;82421111205;84121112525;
89000001724;89003121724;89111001523;89111002524;89111111524;89112001524;89201101604;89211001603;89211002604;89321111423"
"POLY_016","","ООО ""Геоэкотехстрой""","5040077295","Московская обл., Раменский район, земельные участки с
кадастровыми номерами 50:23:0040330:22, 50:23:0040330:24,
50:23:0040330:27","55.540208 38.046525
55.540318 38.046080","Московская
область","8 (903) 575 50 50","geoecots@gmail.com","52, 56","45551001514;45551099514;45711101204;45720101204;81111111494;81111111494;81111531404;81112211394;81112311394;81210101724;
81290101724;81991111704;82213111204;82217111514;82221111204;82223111204;82233111204;82240101214;82291111204;82331111504;
82411001204;82411002204;82441111214;82490001294;82491111204;82614131714;82621001514;82622001514;82631011204;82632111204;
82634111204;82710001514;82731111504;82742311714;82799001724;82913211624;82915111624;82917111714;83020001714;84111111514;
84121111524;84210102214;84220102494;89000001724;89000002494;89000003214;89003121724;93110003394;15211001215;15211002215;
15211003235;15211004215;15411001215;40414000515;40419000515;43411003515;43412003515;43414101205;45711211605;45720102205;
45911099515;81110001495;81111112495;81111112495;81111221405;81112312395;81113111205;81220101205;81910001495;81910003215;
82110101215;82121111205;82151111405;82202112495;82210101215;82220101215;82230101215;82310101215;82320101215;82419111205;
82421111205;82451111205;82913111205;83010001715;84121112525;84921112205;89001111725"
"POLY_017","17","ООО ""Гарбич Транс""","7727449828","Московская область, р-н Домодедовский, д. Долматово,
земельный участок с кадастровым номером
50:28:0110156:4170","55.330963 37.728571","Московская
область","8 (916) 201 26 00","garbagetrans@mail.ru","31","81110001495;81111112495;81910001495;81220101205;82310101215;82421111205;84921112205;81910003215;82202112495;82419111205;
84121112525;82220101215;82913111205;81112312395;82451111205;82924111405;83010001715;82230101215;82320101215;82110101215;
82121111205;82151111405;81111531404;81111111494;81112211394;81112311394;81991111704;82213111204;82217111514;82221111204;
82240101214;82291111204;82331111504;82411001204;82411002204;82441111214;82490001294;82491111204;82531511204;82913211624;
82915111624;82917111714;83020001714;84121111524;89000002494;81210101724"
"POLY_018","18","ООО ""Гранит Авто""","7707700680","Московская область, Городской округ Подольск,
Домодедовское шоссе, д. 47 Б/1 и 47 Б/2, кадастровые
номера земельных участков 50:55:0020121:96,
50:55:0020121:97, 50:55:0020121:99","55.438828 37.596852","Московская
область","8 (495) 799 03 90","office@granit-auto.org","21, 165","15211001215;15211002215;15211003235;15211004215;15411001215;40414000515;40414111524;40419000515;40421001514;40421111515;
40422001514;40423001514;40424001514;40429099514;40490111614;40490511514;40497111614;40518101605;40518201605;40518301605;
40518401605;40518911605;40521111604;40521211604;40521213605;40521621525;40521814525;40522211605;40523111604;40529001295;
40529002294;40529111295;40529115525;40540101205;40540201205;40540301205;40581101605;40581191604;40591135605;40591151605;
40591572604;40591573604;40591916604;40591956605;40591957605;40591964604;40594911605;40595911604;43111001515;43111002515;
43112101205;43119991725;43130001525;43320202514;43320211524;43411001205;43411002295;43411003515;43411004515;43411111514;
43412002295;43412003515;43412004515;43412101514;43412311514;43412511524;43412611294;43414101205;43414102515;43414103515;
43414104514;43414201515;43415101515;43416101515;43416111514;43417101205;43418101515;43418102295;43418111514;43419901205;
43419902205;43419931524;43419971524;43419972505;43419975524;43423111204;43423121204;43425001295;43425002295;43425111214;
43425121514;43463111524;43491001204;43491911204;43499111204;43499121725;43499133725;43510001204;43510002294;43599132724;
43811102514;43811301514;43811302514;43811312514;43811931514;43811933514;43812204515;43812307514;43812311514;43812321514;
43812331514;43812371514;43812941514;43812943514;43812945514;43812951514;43812974514;43819102514;43819105524;43819107504;
43819108524;43819512524;43819901724;43831261514;43831265514;43832311514;43832762514;43832911524;43896171514;43896172514;
43899112724;44312211524;44391111614;45110100205;45110200205;45142111614;45142121615;45181965514;45513111514;45513112624;
45531001204;45532001204;45551001514;45551099514;45570000714;45575111714;45591111604;45592111604;45610001515;45620001295;
45621521525;45631131615;45711101204;45711201204;45711211605;45711901204;45720102205;45720122204;45742111524;45751111204;
45841111525;45911001515;45911011715;45911099515;45911111515;45912111515;45913131525;45914111514;46101001205;46101003204;
46102111204;46102211204;46110001515;46110002215;46110099205;46120001515;46120002215;46120099205;46122111524;46201114204;
46201192204;46210001205;46210099204;46220001515;46220002515;46220003215;46220006205;46220099204;46220501205;46810102204;
46810131504;46810135514;46810141514;46810151204;46811102514;46811202514;46811323514;46811411514;46811912514;46811961514;
46812111514;46812161514;46812521514;46821101514;46821111514;46821135514;46821137514;46821211204;46821212514;46821215514;
46952111514;46952112514;46952113514;46952212514;46952213514;48230201525;48230301525;48230611524;48230621524;48230811524;
48922111524;49110101525;49110311615;81110001495;81111111494;81111112495;81111221405;81111531404;81112312395;81113111205;
81210101724;81220101205;81290101724;81910001495;81910003215;81991111704;82110101215;82121111205;82151111405;82202112495;
82210101215;82213111204;82217111514;82220101215;82221111204;82223111204;82230101215;82233111204;82240101214;82291111204;
82310101215;82320101215;82331111504;82411001204;82411002204;82419111205;82421111205;82431121214;82441111214;82451111205;
82490001294;82491111204;82531511204;82614131714;82631011204;82632111204;82634111204;82731111504;82742311714;82913111205;
82913211624;82915111624;82917111714;82918111424;82924111405;83010001715;83020001714;84111111514;84121111524;84121112525;
84210102214;84220102494;84921112205;88235111214;89000001724;89000002494;89000003214;89001111725;89201101604;89211002604;
45720101204;45712111614;45712211614;45991111404;93110003394;43510003514;82621001514;82622001514;82710001514;82799001724;
89003121724;89111002524;89111111524;89112001524"
"POLY_019","19","ООО ""Грунтофф""","5040167950","Московская область, Городской округ Подольск, деревня
Алтухово, территория промышленного парка Алтухово","55.328078 37.573795","Московская
область","8(800) 550 15 98","info@gruntoff.ru","188","81110001495;81111112495;81111221405;81112312395;81113111205;81220101205;81910001495;81910003215;82110101215;82121111205;
82151111405;82202112495;82210101215;82220101215;82230101215;82310101215;82320101215;82419111205;82421111205;82451111205;
82913111205;82924111405;83010001715;84121112525;84921112205"
"POLY_020","20","ООО ""Евростандарт""","7729492748","Московская область, Наро-Фоминский район, сельское
поселение Ташировское, вблизи дер. Любаново","55.459353 36.621754","Московская
область","8 (916) 950 01 06","eurostandart2016@bk.ru","17","81110001495;81111112495;81910001495;81112312395"
"POLY_021","21","ООО ""Евростандарт""","7729492748","Московская область, Ленинский г.о., с/п Молоковское","55.578546 37.862346","Московская
область","8 (985) 971 11 78","eurostandart2016@bk.ru","108","81110001495;81111112495;81220101205;81910001495;81910003215;82110101215;82220101215;82230101215;83010001715;81111111494;
81111531404;82221111204;83020001714;82310101215"
"POLY_022","22","ООО ""Кинэко""","7723379986","г. Москва, Рязановское поселение, вблизи Фабрики им. 1-
го Мая","55.48311 37.516","Москва","8 (926) 779 00 84","info@oookineco.ru","49","84220101493;83020001714;81910001495;82240101214;82731111504;84210101213;82913111205;81210101724;84121111524;82210101215;
82291111204;81113111205;82622001514;81112211394;81112312395;81111221405;40419000515;93110003394;15211003235;82230101215;
89000001724;82411002204;15211001215;82223111204;82421111205;84121112525;15211004215;82913211624;81111111494;48230201525;
81991111704;84921112205;82621001514;82121111205;81290101724;82799001724;15411001215;82220101215;82419111205;82631011204;
81910003215;82451111205;81220101205;81111112495;15211002215;82310101215;93110001393;82233111204;82110101215;82491111204;
82710001514;84210102214;82221111204;82917111714;81110001495;82151111405;89000002494;84220102494;82320101215;81112311394;
83010001715;89001111725;82202112495"
"POLY_023","23","ООО ""Конкрет и К""","5025031070","Московская область, г.о. Солнечногорск, д. Литвиново","56.112057 37.177608","Московская
область","8 (994) 888 88 48","asl.81@mail.ru","134","81110001495;81111112495;81112312395;81113111205;81220101205;81910001495;81910003215;82110101215;82121111205;82202112495;
82151111405;82210101215;82220101215;82230101215;82310101215;82320101215;82419111205;82421111205;82451111205;82913111205;
83010001715;84121112525;84921112205;81111111494;81111531404;81210101724;82213111204;82221111204;82240101214;82291111204;
82331111504;82411001204;82411002204;82913211624"
"POLY_024","24","ООО ""Корн""","5032308358","Московская область, г.о.Истра, с/пос. Бужаровское, вблизи
д.Зорино, с кадастровыми номерами 50:08:0070221:10 и
50:08:0070221:44","56.013229 36.725814","Московская
область","8 (925) 808 75 97","korn24info@mail.ru","164","15211002215;15211004215;15411001215;40419000515;81110001495;81111112495;81220101205;81910001495;82202112495;82210101215;
82220101215;82230101215;82310101215;82913111205;83010001715;82320101215;81910003215;82421111205;82451111205;81112312395;
84921112205;82151111405;81113111205;82110101215;82121111205;82419111205;84121112525"
"POLY_025","25","ООО ""КСД-РЕЦИКЛИНГ""","5003146769","Московская обл., р-н Ленинский, городское поселение
Горки Ленинские, д. Горки, уч.№411ю","55.518844 37.755877","Московская
область","8 (965) 110 91 10","recycling@ksd.msk.ru","96","15211002215;15411001215;45720102205;81110001495;81111112495;81112312395;81220101205;81910001495;81910003215;82110101215;
82202112495;82210101215;82220101215;82230101215;82310101215;82320101215;82419111205;82421111205;82451111205;82913111205;
83010001715;84121112525;84921112205;82611131713;84100001513;84210101213;84220101493;40421001514;44375102494;45551099514;
45711901204;45712312614;81111111494;81111531404;81210101724;81991111704;82213111204;82217111514;82221111204;82223111204;
82233111204;82240101214;82291111204;82331111504;82411001204;82411002204;82441111214;82490001294;82491111204;82621001514;
82622001514;82631011204;82632111204;82634111204;82710001514;82731111504;83020001714;84111111514;84121111524;84210102214;
84220102494;89000002494;40422001514;40423001514;45551002514;81290101724;82531511204;89000001724"
"POLY_026","26","ООО ""Левобережный МПК""","5047204111","Московская область, г. Химки, микрорайон
Левобережный, Лихачёвское шоссе, вблизи полигона ТБО,
земельный участок с кадастровым номером
50:10:0010405:164","55.898770 37.497702","Московская
область","8 (499) 455 17 43","info@lb-mpk.regop.ru","11","82221111204;81210101724;81290101724;81991111704;82213111204;82217111514;82223111204;82233111204;82240101214;82291111204;
82331111504;82441111214;82491111204;82531511204;82731111504;82913211624;82915111624;82917111714;82918111424;83020001714;
84111111514;84121111524;88235111214;89000001724;89003121724;43819192524;15211001215;15211002215;15211003235;15211004215;
45711211605;45720102205;81220101205;81910003215;82110101215;82121111205;82202112495;82210101215;82220101215;82230101215;
82310101215;82320101215;82419111205;82913111205;83010001715;84121112525;84921112205;89001111725;40419000515;43411003515;
82151111405;81910001495;82421111205;84210102214;89000002494;89000003214;40414000515;40518201605;40518301605;40518401605;
40518911605;40522211605"
"POLY_027","27","ООО ""Логистик Трейд""","800021680","Московская область, г.о. Домодедово, дер. Кучино","55.438037 37.67388","Московская
область","8 (916) 466 68 90","logistikt2024@gmail.com","176, 182","81110001495;81111112495;81112312395;81113111205;81220101205;81910003215;81910001495;82110101215;82310101215;82320101215;
82913111205;83010001715;82421111205;82202112495;82220101215;82230101215;15211001215;82221111204;82291111204;83020001714;
81111111494;81111531404;81112211394;81112311394;84220102494;81210101724;82913211624;81290101724;81991111704;89000001724"
"POLY_028","","ООО ""М3 Центр Неруд""","7702837610","Московская область, Дмитровский район, г/п Яхрома,
вблизи д.Филимоново, уч. № 20","56.273114 37.21579","Московская
область","8 (926) 269 10 41","m3nerud@mail.ru","138","81110001495;81111112495;81112312395;81113111205;81220101205;81910001495;81910003215;82110101215;82121111205;82151111405;
82202112495;82210101215;82220101215;82230101215;82310101215;82320101215;82419111205;82421111205;82913111205;83010001715;
84121112525;84921112205;81111221405;82411002204;81111111494;81111531404;81112311394;81991111704;82531511204;88235111214;
82924111405;82913211624;83020001714;89000002494;81112211394;82331111504;82411001204;84121111524;82451111205;81290101724;
89000001724;82431121214;82441111214;82490001294;82491111204;82621001514;82622001514;82917111714;88511111614;88513121524;
88518111724;89001111725"
"POLY_029","29","ООО ""Мульти Групп Монолит""","7704303029","Московская область, Ленинский городской округ, г .
Видное , территория Северная промышленная зона, 431Н","55.557924 37.767747","Московская
область","8 (925) 163 35 55","info@mgm-snab.ru","177","82221111204;82291111204;45911099515;45911001515;81220101205;82310101215;81910001495;81910003215;82230101215;82110101215;
82121111205;82202112495;82210101215;82220101215;82320101215;82421111205;83010001715;84121112525;81110001495;81111112495"
"POLY_030","30","ООО ""МЭР""","7816715140","Московская область, Городской округ Подольск, город
Подольск, Домодедовское шоссе, земельный участок 47б/5
с кадастровым номером 50:55:0000000:82868","55.441304 37.6024","Московская
область","8 (926) 600 10 62","a.shmeleva@crushmash.ru","147","15211001215;15211002215;15211003235;15211004215;15411001215;40419000515;45110100205;45720102205;45911099515;45911111515;
81110001495;81111112495;81111221405;81112312395;81113111205;81220101205;81910001495;81910003215;82110101215;82121111205;
82151111405;82202112495;82210101215;82220101215;82230101215;82310101215;82320101215;82421111205;82451111205;82913111205;
83010001715;84121112525"
"POLY_031","31","ООО ""Нано Технологии""","7707424494","Московская область, Раменский район, сельское
поселение Чулковское, село Еганово, д. 20","55.532540 38.052890","Московская
область","8 (926) 384 46 27","saf1988@yandex.ru","183","15211001215;15211002215;15211003235;15211004215;15411001215;45911001515;45911111515;45912111515;45913131525;40421111515;
45110200205;45841111525;40414000515;40419000515;45720102205;45110100205;45911099515;81110001495;81111112495;81111221405;
81112312395;81113111205;81220101205;81910001495;81910003215;82110101215;82121111205;82151111405;82202112495;82210101215;
82220101215;82230101215;82310101215;82320101215;82421111205;82451111205;82913111205;83010001715;84121112525;84921112205;
40414111524;40421001514;40422001514;40423001514;40424001514;40429099514;40490111614;40490511514;40497111614;45511111624;
45711201204;45711901204;45712211614;45712312614;45720101204;45720122204;45911021514;45621211514;45591111604;45592111604;
45615111514;45620051424;45620052414;45551002514;45513111514;45513112624;45515111624;81111111494;81111531404;81112211394;
81112311394;81210101724;82213111204;82217111514;82221111204;82223111204;82233111204;82240101214;82291111204;82331111504;
82411002204;82913211624;83020001714;84111111514;84121111524;84210102214;84220102494;89000002494;89000003214;82431121214;
93110003394;44370111393;44375101493;84210101213;84220101493;93110001393"
"POLY_032","32","ООО ""НЕРУДНЫЕ МАТЕРИАЛЫ""","5007100941","Дмитровский муниципальный округ, д. Подгорное,
земельный участок с кадастровыми номерами
50:04:0160208:396; 50:04:0160208:77, 50:04:0160208:23","56.164399 37.35315","Московская
область","8 (926) 880 70 85","darik2802@yandex.ru","194","15211001215;15211002215;15211003235;15211004215;40422001514;40423001514;40424001514;40429099514;44375102494;45551001514;
45551002514;45551099514;45711101204;45711201204;45711901204;81110001495;81111111494;81111112495;81111221405;81111531404;
81112211394;81112311394;81112312395;81210101724;81220101205;81910001495;81910003215;82110101215;82121111205;82151111405;
82202112495;82210101215;82213111204;82217111514;82220101215;82221111204;82223111204;82230101215;82233111204;82240101214;
82291111204;82310101215;82320101215;82331111504;82411002204;82419111205;82421111205;82431121214;82441111214;82451111205;
82490001294;82491111204;82913111205;82913211624;82918111424;82924111405;83010001715;83020001714;84210102214;84220102494;
84921112205;88235111214;89000002494;93110003394"
"POLY_033","33","ООО "" Неруд Пром""","5040148644","Московская область, городской округ Дзержинский, место
положение установлено относительно ориентира,
расположенного за пределами участка, ориентир
Административное здание ЗАО ""Жилстрой"", в 150 метрах
ориентира по направлению на юг","55.618406 37.860784","Московская
область","8 (925) 270 44 97","info@sc-np.com","69","15211001215;15211002215;15211003235;15411001215;40414000515;40419000515;45720102205;45911099515;81110001495;81111112495;
81111221405;81112312395;81113111205;81220101205;81910001495;81910003215;82110101215;82210101215;82151111405;82202112495;
82220101215;82230101215;82310101215;82320101215;82419111205;82451111205;82913111205;83010001715;84921112205"
"POLY_034","34","ООО ""Нерудэкострой""","5003142852","Московская область, городской округ Электросталь, п.
Случайный, кадастровый номер земельного участка:
50:16:0502056:929","55.745284 38.380351","Московская
область","8 (906) 168 31 78","nerudekostroy@yandex.ru","166","81110001495;81111112495;81113111205;81910001495;81112312395"
"POLY_035","35","ООО ""Нестрон""","7721179082","Московская область, Домодедовский район, г.
Домодедово, мкр. Барыбино","55.254539 37.851196","Московская
область","8 (916) 700 11 66","9060934362@mail.ru","187","81910003215;81910001495;82202112495;82210101215;82220101215;82230101215;82310101215;82320101215;82419111205;81110001495;
81111112495;15211001215;15211002215;15211004215;82121111205;82451111205;82913111205;83010001715;81220101205;81112312395;
82110101215;82151111405;82421111205;82924111405;84921112205"
"POLY_036","36","ООО ""Платон строй""","5036171633","(КИП № 22) Московская область, Ленинский район, Совхоз
имени Ленина, вблизи деревни Апаринки, кадастровый
номер участка 50:21:0040102:633.","55.562823 37.767881","Московская
область","8 (929) 604 01 33","info@eko-vivoz.ru","22","81220101205;81910001495;81910003215;82110101215;82151111405;82220101215;82210101215;82230101215;82310101215;83010001715;
84121112525"
"POLY_037","37","ООО ""Полигон 77""","5003158235","Московская область, городской округ Ленинский,
городское поселение Горки Ленинские, д. Калиновка","55.510491 37.729688","Московская
область","8 (996) 970 27 09","ooopoligon77@yandex.ru","156, 179","81110001495;81111112495;81113111205;81112312395;81220101205;81910001495;81910003215;82110101215;82151111405;82220101215;
82210101215;82230101215;82310101215;82421111205;82451111205;83010001715"
"POLY_038","38","ООО ""Полигон 77""","5003158235","Московская область, г.о. Домодедово, вблизи д. Щербинка","55.438062 37.656374","Московская
область","8 (996) 970 27 09","ooopoligon77@yandex.ru","181, 191","81110001495;81111112495;81112312395;81220101205;81910001495;81910003215;82110101215;82210101215;82220101215;82230101215;
82310101215;82421111205;82451111205;83010001715;81111111494;81111531404;81112211394;81112311394;81210101724;82233111204;
81290101724;81991111704;82213111204;82217111514;82221111204;82240101214;82291111204;82331111504;82411001204;82411002204;
82431121214;82441111214;82490001294;82491111204;82531511204;82913211624;83020001714;82917111714;88235111214;89000002494;
82918111424;84210102214;84220102494;88513121524;89000001724;93110003394"
